role,topic,difficulty,question,answer
Machine Learning Engineer,Model Evaluation,Hard,What is macro vs micro averaging in evaluation metrics?,"Macro averaging computes metrics independently for each class and then averages them, giving equal weight to all classes. Micro averaging aggregates contributions of all classes before computing the metric, favoring larger classes."
Machine Learning Engineer,Model Evaluation,Medium,What is bootstrapping in model evaluation?,Bootstrapping is a resampling technique that repeatedly samples with replacement from the dataset to estimate the distribution of a performance metric.
Machine Learning Engineer,Overfitting / Regularization,Medium,How does increasing training data help reduce overfitting?,"Increasing training data provides more representative patterns of the underlying distribution, reducing the model’s tendency to memorize noise."
Machine Learning Engineer,Overfitting / Regularization,Hard,What is variance inflation factor (VIF)?,VIF measures how much the variance of a regression coefficient increases due to multicollinearity. High VIF indicates strong correlation between predictors.
Machine Learning Engineer,Feature Engineering,Medium,What is binning in feature engineering?,Binning groups continuous variables into discrete intervals to reduce noise and sometimes improve interpretability.
Machine Learning Engineer,Feature Engineering,Hard,What is concept drift?,"Concept drift occurs when the relationship between input features and target variable changes over time, requiring model retraining."
Machine Learning Engineer,Deployment Basics,Medium,What is model serialization?,"Model serialization is the process of saving a trained model to disk (e.g., using pickle or joblib) so it can be loaded later for inference."
Machine Learning Engineer,Deployment Basics,Hard,What is feature store in MLOps?,"A feature store is a centralized repository that stores, manages, and serves features consistently for both training and inference pipelines."
Machine Learning Engineer,Unsupervised Learning,Hard,What is autoencoder used for?,"Autoencoders are neural networks used for dimensionality reduction, anomaly detection, or feature learning by encoding input into a compressed representation and reconstructing it."
Software Engineer,OOPS,Easy,What are the four pillars of OOPS?,"The four pillars of OOPS are encapsulation, abstraction, inheritance, and polymorphism."
Software Engineer,OOPS,Easy,What is encapsulation?,"Encapsulation is the bundling of data and methods that operate on that data within a single unit, typically a class, while restricting direct access to some components."
Software Engineer,OOPS,Medium,What is abstraction?,Abstraction hides implementation details and exposes only the essential features of an object.
Software Engineer,OOPS,Medium,What is polymorphism?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling the same interface to be used for different implementations."
Software Engineer,OOPS,Hard,What is the difference between overloading and overriding?,"Overloading occurs when multiple methods share the same name but differ in parameters, while overriding occurs when a subclass provides a specific implementation of a method already defined in its parent class."
Software Engineer,DBMS,Easy,What is a database?,A database is an organized collection of structured data stored electronically and managed by a DBMS.
Software Engineer,DBMS,Medium,What is normalization?,Normalization is the process of organizing data to reduce redundancy and improve data integrity.
Software Engineer,DBMS,Hard,What are ACID properties?,"ACID stands for Atomicity, Consistency, Isolation, and Durability, ensuring reliable database transactions."
Software Engineer,DBMS,Medium,What is indexing?,Indexing improves query performance by creating a data structure that allows faster retrieval of records.
Software Engineer,OS,Easy,What is an operating system?,An operating system manages hardware resources and provides services for application software.
Software Engineer,OS,Medium,What is a process?,A process is an instance of a program in execution with its own memory space and system resources.
Software Engineer,OS,Medium,What is a thread?,A thread is a lightweight unit of execution within a process that shares memory with other threads.
Software Engineer,OS,Hard,What is deadlock?,Deadlock occurs when two or more processes wait indefinitely for resources held by each other.
Software Engineer,Networking,Easy,What is a computer network?,A computer network is a collection of interconnected devices that communicate and share resources.
Software Engineer,Networking,Medium,What is TCP vs UDP?,"TCP is connection-oriented and reliable, ensuring data delivery, while UDP is connectionless and faster but does not guarantee delivery."
Software Engineer,Networking,Hard,What is the OSI model?,The OSI model is a seven-layer framework that standardizes network communication functions.
Software Engineer,Networking,Medium,What is DNS?,DNS (Domain Name System) translates human-readable domain names into IP addresses.
Software Engineer,Clean Code Principles,Easy,What is clean code?,"Clean code is readable, maintainable, simple, and easy to understand by other developers."
Software Engineer,Clean Code Principles,Medium,What is the Single Responsibility Principle?,"A class should have only one reason to change, meaning it should perform a single responsibility."
Software Engineer,Clean Code Principles,Hard,What is SOLID principle?,SOLID is a set of five design principles that improve maintainability and scalability of object-oriented systems.
Software Engineer,OOPS,Hard,What is composition vs inheritance?,"Inheritance models an 'is-a' relationship, while composition models a 'has-a' relationship and is often preferred for flexibility."
Software Engineer,DBMS,Hard,What is a transaction?,A transaction is a sequence of database operations executed as a single logical unit of work.
Software Engineer,OS,Hard,What is context switching?,Context switching is the process of saving and restoring the state of a CPU so multiple processes can share a single CPU.
Software Engineer,Networking,Hard,What is HTTP vs HTTPS?,"HTTP is a protocol for transferring web data, while HTTPS is the secure version that encrypts communication using SSL/TLS."
Software Engineer,Clean Code Principles,Medium,Why is meaningful naming important?,"Meaningful names improve readability, reduce ambiguity, and make code self-documenting."
Software Engineer,OOPS,Medium,What is an interface?,"An interface defines a contract of methods that implementing classes must provide, without specifying implementation details."
Software Engineer,OOPS,Hard,What is dynamic binding?,"Dynamic binding resolves method calls at runtime rather than compile time, enabling runtime polymorphism."
Software Engineer,OOPS,Medium,What is a constructor?,A constructor is a special method used to initialize objects when they are created.
Software Engineer,OOPS,Hard,What is the Liskov Substitution Principle?,Objects of a superclass should be replaceable with objects of a subclass without affecting correctness.
Software Engineer,OOPS,Medium,What is method hiding?,Method hiding occurs when a subclass defines a static method with the same signature as a static method in its superclass.
Software Engineer,DBMS,Medium,What is a primary key?,A primary key uniquely identifies each record in a table and cannot contain null values.
Software Engineer,DBMS,Medium,What is a foreign key?,A foreign key is a column that establishes a relationship between two tables by referencing the primary key of another table.
Software Engineer,DBMS,Hard,What is isolation level in databases?,"Isolation level defines how transaction integrity is visible to other transactions, controlling phenomena like dirty reads and phantom reads."
Software Engineer,DBMS,Hard,What is a deadlock in DBMS?,A database deadlock occurs when two or more transactions wait indefinitely for each other’s locks to be released.
Software Engineer,OS,Medium,What is virtual memory?,Virtual memory is a memory management technique that provides an illusion of large memory by using disk space as an extension of RAM.
Software Engineer,OS,Hard,What is paging?,Paging is a memory management scheme that divides memory into fixed-size blocks called pages to eliminate external fragmentation.
Software Engineer,OS,Medium,What is scheduling in OS?,Scheduling determines which process or thread gets CPU time and for how long.
Software Engineer,OS,Hard,What is starvation?,Starvation occurs when a process never gets CPU time because other higher-priority processes keep executing.
Software Engineer,Networking,Medium,What is an IP address?,An IP address uniquely identifies a device on a network and enables communication between devices.
Software Engineer,Networking,Hard,What is subnetting?,Subnetting divides a network into smaller sub-networks to improve performance and security.
Software Engineer,Networking,Medium,What is a firewall?,A firewall is a security system that monitors and controls incoming and outgoing network traffic.
Software Engineer,Networking,Hard,What is ARP?,ARP (Address Resolution Protocol) maps IP addresses to MAC addresses within a local network.
Software Engineer,Clean Code Principles,Medium,What is DRY principle?,DRY (Don't Repeat Yourself) emphasizes reducing code duplication to improve maintainability.
Software Engineer,Clean Code Principles,Hard,What is Open-Closed Principle?,Software entities should be open for extension but closed for modification.
Software Engineer,Clean Code Principles,Medium,What is code refactoring?,Refactoring is restructuring existing code without changing its external behavior to improve readability and maintainability.
Software Engineer,OOPS,Hard,What is dependency injection?,"Dependency injection is a design pattern where dependencies are provided to a class rather than created inside it, improving modularity and testability."
Software Engineer,DBMS,Medium,What is denormalization?,Denormalization intentionally introduces redundancy to improve read performance.
Software Engineer,OS,Medium,What is mutex?,A mutex is a synchronization mechanism used to prevent multiple threads from accessing shared resources simultaneously.
Software Engineer,Networking,Medium,What is latency?,Latency is the time delay between sending a request and receiving a response over a network.
Software Engineer,Clean Code Principles,Hard,Why should functions be small?,"Small functions improve readability, reusability, testability, and reduce cognitive complexity."
Software Engineer,OOPS,Medium,What is an abstract class?,An abstract class is a class that cannot be instantiated and may contain abstract methods that must be implemented by subclasses.
Software Engineer,OOPS,Hard,What is multiple inheritance and its problem?,Multiple inheritance allows a class to inherit from more than one class. It can lead to ambiguity issues like the diamond problem.
Software Engineer,OOPS,Medium,What is the diamond problem?,"The diamond problem occurs in multiple inheritance when a class inherits from two classes that both inherit from the same parent, causing ambiguity in method resolution."
Software Engineer,OOPS,Hard,What is immutability?,"Immutability means an object's state cannot be modified after creation, improving thread safety and predictability."
Software Engineer,OOPS,Medium,What is method overriding?,Method overriding occurs when a subclass provides a specific implementation for a method defined in its superclass.
Software Engineer,DBMS,Medium,What is a JOIN?,A JOIN combines rows from two or more tables based on a related column.
Software Engineer,DBMS,Hard,What is the difference between INNER JOIN and LEFT JOIN?,"INNER JOIN returns matching rows from both tables, while LEFT JOIN returns all rows from the left table and matching rows from the right table."
Software Engineer,DBMS,Medium,What is a composite key?,A composite key is a primary key formed by combining two or more columns.
Software Engineer,DBMS,Hard,What is query optimization?,Query optimization is the process of improving query performance by choosing efficient execution plans.
Software Engineer,OS,Medium,What is a semaphore?,A semaphore is a synchronization tool used to control access to shared resources in concurrent systems.
Software Engineer,OS,Hard,What are the necessary conditions for deadlock?,"The four conditions are mutual exclusion, hold and wait, no preemption, and circular wait."
Software Engineer,OS,Medium,What is thrashing?,Thrashing occurs when excessive paging leads to high disk activity and reduced CPU utilization.
Software Engineer,OS,Hard,What is demand paging?,"Demand paging loads pages into memory only when they are needed, reducing memory usage."
Software Engineer,Networking,Medium,What is the difference between hub and switch?,"A hub broadcasts data to all devices, while a switch forwards data only to the intended recipient."
Software Engineer,Networking,Hard,What is NAT?,Network Address Translation (NAT) allows multiple devices on a private network to share a single public IP address.
Software Engineer,Networking,Medium,What is SSL/TLS?,SSL/TLS are cryptographic protocols that secure communication over a network.
Software Engineer,Networking,Hard,What is three-way handshake in TCP?,"The TCP three-way handshake establishes a connection using SYN, SYN-ACK, and ACK messages."
Software Engineer,Clean Code Principles,Medium,What is KISS principle?,"KISS (Keep It Simple, Stupid) emphasizes simplicity in design and implementation."
Software Engineer,Clean Code Principles,Hard,What is Interface Segregation Principle?,Clients should not be forced to depend on interfaces they do not use.
Software Engineer,Clean Code Principles,Medium,What is meaningful commenting?,"Meaningful comments explain why something is done, not what the code is already clearly expressing."
Software Engineer,OOPS,Hard,What is object slicing?,"Object slicing occurs when a derived class object is assigned to a base class object, losing derived class-specific data."
Software Engineer,DBMS,Medium,What is a view in DBMS?,A view is a virtual table created from a SQL query that does not store data physically.
Software Engineer,OS,Medium,What is interrupt?,An interrupt is a signal to the CPU indicating an event that requires immediate attention.
Software Engineer,Networking,Medium,What is bandwidth?,Bandwidth is the maximum data transfer rate of a network connection.
Software Engineer,Clean Code Principles,Hard,Why avoid magic numbers?,Magic numbers reduce readability and maintainability; named constants should be used instead.
Software Engineer,OOPS,Medium,What is cohesion in OOPS?,Cohesion refers to how closely related the responsibilities of a single module or class are. High cohesion is desirable for maintainability.
Software Engineer,OOPS,Hard,What is coupling?,Coupling refers to the degree of dependency between modules or classes. Low coupling is preferred to improve flexibility and testability.
Software Engineer,OOPS,Medium,What is the difference between shallow copy and deep copy?,"Shallow copy copies object references, while deep copy creates independent copies of all nested objects."
Software Engineer,OOPS,Hard,What is method overloading?,Method overloading allows multiple methods with the same name but different parameter lists within the same class.
Software Engineer,OOPS,Medium,What is the purpose of access modifiers?,"Access modifiers control the visibility and accessibility of classes, methods, and variables."
Software Engineer,DBMS,Medium,What is a stored procedure?,A stored procedure is a precompiled set of SQL statements stored in the database for reuse.
Software Engineer,DBMS,Hard,What is CAP theorem?,"CAP theorem states that a distributed system can provide only two of the following three guarantees: Consistency, Availability, and Partition tolerance."
Software Engineer,DBMS,Medium,What is a trigger?,A trigger is a database object that automatically executes in response to specific events like insert or update.
Software Engineer,DBMS,Hard,What is sharding?,Sharding is a technique of horizontally partitioning a database into smaller pieces called shards to improve scalability.
Software Engineer,OS,Medium,What is memory fragmentation?,"Memory fragmentation occurs when free memory is divided into small non-contiguous blocks, reducing allocation efficiency."
Software Engineer,OS,Hard,What is a race condition?,A race condition occurs when multiple threads access shared data concurrently and the outcome depends on execution order.
Software Engineer,OS,Medium,What is inter-process communication (IPC)?,IPC refers to mechanisms that allow processes to communicate and share data.
Software Engineer,OS,Hard,What is kernel mode vs user mode?,"Kernel mode has full access to system resources, while user mode has restricted access to ensure system security."
Software Engineer,Networking,Medium,What is a proxy server?,"A proxy server acts as an intermediary between client and server, often used for security or caching."
Software Engineer,Networking,Hard,What is packet switching?,Packet switching breaks data into small packets that are transmitted independently across a network.
Software Engineer,Networking,Medium,What is CDN?,A Content Delivery Network (CDN) distributes content across geographically distributed servers to reduce latency.
Software Engineer,Networking,Hard,What is DNS resolution process?,DNS resolution translates a domain name into an IP address by querying DNS servers in a hierarchical manner.
Software Engineer,Clean Code Principles,Medium,What is YAGNI principle?,YAGNI (You Aren't Gonna Need It) suggests implementing only what is necessary and avoiding premature features.
Software Engineer,Clean Code Principles,Hard,What is Dependency Inversion Principle?,High-level modules should not depend on low-level modules; both should depend on abstractions.
Software Engineer,Clean Code Principles,Medium,What is code smell?,Code smell is an indication of poor design or implementation that may lead to maintainability issues.
Software Engineer,OOPS,Hard,What is design pattern?,A design pattern is a reusable solution to common software design problems.
Software Engineer,DBMS,Medium,What is replication?,Replication is copying data across multiple database servers to improve availability and fault tolerance.
Software Engineer,OS,Medium,What is load balancing in OS?,Load balancing distributes workload evenly across CPUs or systems to optimize resource use.
Software Engineer,Networking,Medium,What is port number?,A port number identifies a specific process or service running on a device.
Software Engineer,Clean Code Principles,Hard,Why write unit tests?,"Unit tests ensure correctness, prevent regressions, and make refactoring safer."
